species|ecology|status|trends|world distribution
Carex maritima|A rhizomatous perennial herb found in short vegetation in damp dune-slacks and on open sand, often close to freshwater seepages or where streams debouch onto the shore. It is mobile and can colonise new sites with suitable habitat. Populations can be very large. Lowland.|Native|C. maritima suffered a considerable decline before 1930. Assessments of more recent trends are difficult because it is a very inconspicuous and under-recorded species. Further fieldwork is required to establish its current distribution. It is probably lost from St. Andrews golf course (Fife) where it was abundant in 1984.|Circumpolar Arctic-montane element.
Carex microglochin|A shortly-rhizomatous perennial herb of base-rich flushes on gently sloping or `stepped` ground on micaceous silt or gravel. Also, occasionally, on steep burn-sides downstream of large colonies. Reproduction appears to be mainly vegetative. Between 610 m and 975 m on Ben Lawers (Mid Perth).|Native|Regular monitoring since the 1980s has shown little change in the distribution of the many colonies of C. microglochin within the only 10-km square from which it is recorded.|European Arctic-montane element; also in C. Asia and N. & S. America.
Carex montana|This perennial herb was thought to be confined to rough, open grassland on limestone. However, recent studies have shown that it grows at these sites only where non-calcareous drift overlays the calcareous bedrock, and it can in fact thrive in neutral to acidic grassland, on heathland and in woodland rides, often in partial shade. Generally lowland, but reaching 560 m at Carreg yr Ogof (Carms.).|Native|The recognition of the wider ecological amplitude of C. montana has led to its discovery in many additional 10-km squares since the 1962 Atlas.|European Temperate element, with a continental distribution in W. Europe; also in C. and E. Asia.
Carex muricata||||
Carex nigra|C. nigra occurs in a wide range of wet habitats, avoiding only those which are extremely basic or acidic. It is found in fens, fen-meadows, bogs, streamsides and flushes, wet grassland and dune-slacks. This sedge is morphologically very variable: tussock forms may occur in stagnant, acidic sites, and rhizomatous tufted variants are known from calcareous mires. 0-1005 m (Beinn Heasgarnich, Mid Perth).|Native|Mapped as `all records` in the 1962 Atlas, the distribution of C. nigra seems stable other than in S.E. England, where it is has declined because of drainage.|Eurosiberian Boreo-temperate element; also in N. America.
Carex norvegica|C. norvegica is a perennial herb of wet, stony slopes, ledges and turf over basic rock and with base-rich run-off. All the sites have a mainly N.-facing aspect, and occur in places where snow lies late. Populations are usually quite small and of very limited extent. From 700 m at Corrie Fee (Angus) to 975 m on Beinn Heasgarnich (Mid Perth).|Native|The distribution of C. norvegica is stable, but it has recently been discovered in a new locality in W. Perth.|Circumpolar Arctic-montane element.
Carex ornithopoda|A perennial herb of skeletal, well-drained soils on S.-facing slopes overlying Carboniferous limestone. It grows in open grassland, on rocky outcrops, screes, crags and limestone pavements, and occasionally also in partial shade in open limestone woodland. Lowland to 600 m on Long Fell, Warcop (Westmorland).|Native|C. ornithopoda is still very localised, but its known range has been extended since the 1962 Atlas by discoveries in Cumberland and Yorkshire. Populations may be increasing in Westmorland, but plants are often vulnerable to intensive grazing by sheep.|European Boreal-montane element.     © K.J. Walker, BSBI
Carex otrubae|A perennial of wet habitats, usually on heavy soils. It is found on the sides of streams and ponds, in ditches, swamps, wet lowland meadows and pastures, at the upper edge of saltmarshes, and, less commonly, on damp roadsides and hedge banks. In N. England and Scotland it is essentially a coastal plant. It generally grows in slightly drier conditions than C. vulpina, tending to avoid standing water. Lowland.|Native|The overall distribution of C. otrubae is little changed since the 1962 Atlas, though loss of habitat through drainage has caused some local declines, for example in Dorset (Pearman, 1994).|Eurosiberian Southern-temperate element.     © G. Toone, IWNHAS
Carex ovalis|A tufted perennial herb, especially of acidic grassland, frequent in upland pastures, Nardus grassland and Calluna moorland. It is also common on lowland heaths, in damp meadows, woodland rides and edges, in ruderal habitats, and sometimes in moderately base-rich flushes and dune-slacks. It can be frequent in meadows which have been improved, and have then regressed. 0-1005 m (Lochnagar, S. Aberdeen).|Native|C. ovalis was mapped as `all records` in the 1962 Atlas. It has remained widespread and common, other than in S. and E. England where there have been many local losses.|Eurosiberian Boreo-temperate element; widely naturalised outside its native range.     © G. Toone, IWNHAS
Carex pallescens|A perennial herb of damp grassland, woodland rides and clearings and stream banks; usually on moist, mildly acidic to neutral soils. In the Scottish mountains and some of the hills of northern England it is found on acidic, wet grassy slopes. Lowland to 790 m in Atholl (E. Perth).|Native|C. pallescens was mapped as `all records` in the 1962 Atlas. There has clearly been a marked decline in many areas; analysis of the database reveals that most of the losses have occurred since 1950.|Eurosiberian Boreo-temperate element; also in N. America.     © P. Shannon
Carex panicea|A perennial herb found in a wide range of damp or wet habitats on neutral to moderately acidic soils, including marshy grassland, hay- and water-meadows, mires, sea-cliff grassland, heaths and flushes in montane grassland; also, in N. & W. Britain and Ireland, in the uppermost parts of saltmarshes. 0-1125 m (Cairngorms).|Native|C. panicea was mapped as `all records` in the 1962 Atlas. It has declined, particularly in S. and E. England, and analysis of the database reveals most losses have occurred since 1950. Its distribution in Ireland is more stable.|European Boreo-temperate element; also in C. Asia.     © L. Rooney
Carex paniculata|This tussock-forming perennial herb occurs in a wide range of habitats, usually somewhat base-enriched, including swamps and fens, the edges of lakes, ponds, canals and ditches, open fen-carr and swampy woodland. It usually grows in the open, where it fruits freely, but tolerates moderate shade, although it can become smaller and less vigorous, flowering only sparsely. Generally lowland, but to over 600 m on Gylchedd (Denbs.).|Native|The range of C. paniculata is stable. However, its frequency has decreased and it has been lost from many sites and is threatened in others, such as in Broadland where `tussock-fens` have ceased to develop.|European Temperate element.     © P. Shannon
Carex pauciflora|A perennial herb of wet, acidic, oligotrophic raised and blanket bogs, often growing on and around hummocks and usually in association with Sphagnum species. Lowland to 650 m (Beinn Heasgarnich, Mid Perth) and 820 m elsewhere in Scotland.|Native|The range of C. pauciflora has changed very little since the 1962 Atlas. It is a very inconspicuous species and is easily overlooked, so it is probably present in many 10-km squares for which only pre-1987 records are available.|Circumpolar Boreal-montane element.
Carex pendula|A perennial herb usually growing on damp base-rich, heavy (often clay) soils, in shaded habitats. It is found in deciduous woodland, by ditches, ponds, streams, in hedgerows and on track-sides. Reproduction by seed can be prolific. Lowland, but exceptionally at 410 m at Alston (Cumberland).|Native|C. pendula has shown a very pronounced northerly expansion since the 1962 Atlas. It is now widely grown in gardens as an ornamental plant, and often escapes, so that the limits of its native range are totally obscure; all records are mapped here as if they are native.|European Southern-temperate element.
Carex pilulifera|A perennial herb of dry sites on base-poor, usually acidic soils; its habitats include sandy heaths, dune grassland, open woodlands, upland grassland and moorland. 0-1140 m (Beinn a` Bhuird, S. Aberdeen).|Native|C. pilulifera was mapped as `all records` in the 1962 Atlas. Its overall distribution appears to be little changed.|European Temperate element.     © P. Shannon
Carex pseudocyperus|A pioneer species of wet mud and shallow water, found in a wide variety of habitats including the edges of lakes, ponds, reservoirs, rivers, ditches, canals and backwaters. It also occurs in reedswamps and tall-herb fens, and readily colonises sand-, gravel-, clay- and marl-pits. It is shade-tolerant, and is found in swampy Alnus woods and Salix carr. Reproduction is by seed. Lowland.|Native|C. pseudocyperus was lost from many squares in Ireland before 1930. It has declined across much of its British range, but particularly in S.E. and E. England, since the 1962 Atlas. It is sometimes planted at the edge of ponds.|Eurosiberian Temperate element; also in E. Asia and N. America.     © K.J. Walker, BSBI
Carex pulicaris|A perennial herb of damp or wet neutral or calcareous soils, and of more acidic soils where these are flushed by mineral-enriched groundwater. Habitats include short-sedge mires, damp meadows and pastures, fen-meadows, wet heaths, flushes and springs, montane rock ledges and Dryas heath. It also occurs, albeit rarely, on N.-facing slopes in chalk and limestone districts. 0-915 m (Macgillycuddy`s Reeks, S. Kerry, and W. Ross).|Native|The distribution of C. pulicaris in N. and W. Britain and Ireland is largely unchanged. Elsewhere, losses from the lowlands, already apparent in the 1962 Atlas, have accelerated through drainage and the destruction of damp meadows and pastures.|Suboceanic Temperate element.     © G. Toone, IWNHAS
Carex punctata|A perennial herb of sheltered rock ledges and clefts on sea-cliffs, invariably in seepage zones where freshwater trickles down the cliff-face. It is also found on wet sandy patches in saltmarshes, and amongst rocks or on sand where streams debouch onto the shore. It occurs in similar habitats to C. distans, and may sometimes be mistaken for it. Lowland.|Native|C. punctata tends to be rather mobile and is often present in small populations. However, the overall distribution appears to be largely stable, and recent recording has led to the discovery of many new sites within its known range.|Suboceanic Southern-temperate element.     © K.J. Walker, BSBI
Carex rariflora|A perennial herb of wet, base-poor peaty substrates, mainly occurring in flush-bogs on gentle slopes, often in areas of late snow-lie or by streams flowing from them. It also occurs by pools, and on terraces by the side of incised burns. From 790 m in Drumochter Forest (Westerness) to 1125 m at Lochan Bhuidhe and Ben Macdui (both Banffs.).|Native|Many new sites for C. rariflora have been discovered since the 1962 Atlas, some of them very extensive, and more than thirty populations are now known.|Circumpolar Arctic-montane element; absent from mountains of C. Europe.     © Pete Stroh
Carex recta|A rhizomatous perennial found in marshes along the lower reaches and estuaries of the Wick River (Caithness), the River Beauly and the Kyle of Sutherland (both E. Ross), growing in places where silt is periodically deposited or where the water-table fluctuates. It sets few viable seeds and reproduction is mostly vegetative. Lowland.|Native|The distribution of C. recta is unchanged since the 1962 Atlas, but the population on the Beauly River has declined considerably since the 1980s. Faulkner (1972) considered that this taxon probably arose through hybridisation of C. aquatilis and the Scandinavian species C. paleacea.|Oceanic Boreal-montane element; also in N. America.
Carex remota|A tufted perennial herb of damp woodland and woodland rides, often growing in considerable shade. It can become dominant in favoured habitats, such as in woods that are seasonally flooded. Generally lowland, but reaching 320 m in Swaledale (N.W. Yorks.).|Native|There has been no significant change in the overall distribution of this species since the 1962 Atlas.|European Temperate element; also in C. and E. Asia.     © G. Toone, IWNHAS
Carex riparia|This rhizomatous perennial is found in reed-swamps, on the edges of pools and lakes, in marshy areas and wet woodland, and along the banks of slow-flowing rivers and canals. It is a species of base-rich, mesotrophic or eutrophic sites. Reproduction is mainly vegetative, but new colonies can arise from seed. Lowland.|Native|The distribution of C. riparia is broadly similar to that shown in the 1962 Atlas, and the plant is much better recorded in Ireland. Records from N.W. Scotland have been treated as errors. It is sometimes planted by ponds, and some records mapped as native may refer to such introductions.|Eurosiberian Temperate element.     © G. Toone, IWNHAS
Carex rostrata|A rhizomatous perennial herb found in emergent stands on the edges of lakes and ponds, rivers and streams, in ditches, swamps, fens and bog pools, wet meadows, flush-bogs on hillsides, sea-cliff flushes, wet dune-slacks, and Alder and Salix carr. It usually grows in oligotrophic or mesotrophic, acidic waters, though it also occurs in nutrient-poor calcareous conditions. 0?1040 m (Creag Meagaidh, Westerness).|Native|The distribution of C. rostrata is stable except in S.E. England. Here, it had been lost from some sites before 1930 and further losses have occurred because of drainage and habitat reclamation.|Circumpolar Boreo-temperate element.
Carex rupestris|A perennial herb of basic substrates on cliff ledges and crevices, and on broken rocky or grassy slopes, always over base-rich rocks. It is often a shy flowerer, and it sometimes grows with C. pulicaris with which it can be easily confused. Found near sea level in N.W. Scotland, but usually from 600 m, to 935 m on Ben Lawers (Mid Perth).|Native|C. rupestris is now better recorded than it was for the 1962 Atlas, particularly in N.W. Scotland.|Circumpolar Arctic-montane element.     © Pete Stroh
Carex saxatilis|This rhizomatous perennial herb is usually, but not exclusively, found on base-rich substrates, in areas where there is little water movement. It occurs on flat mountain tops and gentle slopes, and in damp flushes and hollows where snow lies late. From 460 m in Glen Clunie (S. Aberdeen) to 1125 m on Ben Lawers (Mid Perth).|Native|The distribution of C. saxatilis is unlikely to have changed markedly, and it is possibly still present in many 10-km squares for which there are only pre-1987 records. It is under little threat, and is now better recorded than it was when mapped by Stewart et al. (1994).|Circumpolar Arctic-montane element; absent from mountains of C. Europe.
Carex spicata|A perennial herb of rough grasslands, roadsides, railway embankments, hedge banks, woodland rides and clearings, open scrub and waste ground. It is a plant of moist, neutral or slightly base-rich, heavy soils, and cannot withstand much competition. Lowland.|Native|This species was previously confused with C. muricata subsp. lamprocarpa, but a clear account of the differences was provided by Jermy et al. (1982) and it is now known to be more common in N.W. England and W. Scotland than indicated in the 1962 Atlas.|European Temperate element; widely naturalised outside its native range.     © P. Shannon
Carex strigosa|A perennial herb of moist, base-rich, sometimes clayey, soils in deciduous or mixed woodlands, often found near streams or seepages. It occurs most frequently in clearings and along tracks, but is sometimes found in considerable shade. Lowland.|Native|C. strigosa is easily overlooked, and it is better recorded now than in the 1962 Atlas. Many sites were lost before 1930, particularly in Ireland. Since 1962 its distribution has been stable other than in Sussex and Kent, where there has been a noteworthy decline, the reasons for which are unclear.|Suboceanic Temperate element.
Carex sylvatica|This perennial herb is found in a wide range of woodland habitats, generally preferring those where there is some base-enrichment and where the soil is moist and clayey. In many woods it is particularly frequent along the sides of paths or rutted tracks. It is occasionally found in open scrub and damp grassland, but likely to be a woodland relic in such places. Generally lowland, but reaching 565 m on Ben Bulben (Co. Sligo), and reportedly at 640 m in the Scottish Highlands.|Native|There has been no significant change in the distribution of C. sylvatica since the 1962 Atlas, and it is now better recorded.|Eurasian Temperate element.     © G. Toone, IWNHAS
Carex vaginata|A rhizomatous perennial herb of flushed, moderately basic to slightly acidic mountain grassland; also found in flush bogs and on rock ledges. It can be locally abundant and form large patches by rhizomatous growth, but is a shy flowerer and for that reason may often be overlooked. From 370 m at Creag an Eirionnaich near Blair Atholl (Mid Perth) to 1150 m on Cairn Toul (S. Aberdeen), but usually found above 700 m.|Native|The overall distribution of C. vaginata is stable.|Circumpolar Boreo-arctic Montane element.
Carex vesicaria|A perennial herb of wet habitats, mainly mesotrophic and at least slightly basic, occurring where the water table lies close to or above the soil surface. It is found by lakes, rivers, streams, ponds and canals, in marshes and swamps, ditches, wet meadows and depressions in pasture, and in wet woodland. It also colonises wet hollows in disused sand-, gravel- and clay-pits. 0-455 m (Llyn Gorast, Cards.).|Native|C. vesicaria has been lost from many sites in England and S.E. Ireland since the 1962 Atlas. Causes of this decline in Britain include drainage, falling water tables, ditch cleaning and eutrophication.|Circumpolar Boreo-temperate element.     © L. Rooney
Carex viridula||||
Carex viridula subsp.brachyrrhyncha|A perennial herb of fens and calcareous mires, especially in areas of winter flooding. It is also frequent base-rich flushes and wet ledges on sea-cliffs, hills and mountainsides, usually in short, open vegetation. 0?775 m (Coire nan Laogh, Glen Banchory, Easterness).|Native|The map shows many more records of this subspecies than in the 1962 Atlas but there have been local losses, particularly in S. England, presumably arising from drainage and agricultural improvements. Populations in many lowland areas are small.|European Temperate element; also in eastern N. America.
Carex viridula subsp.oedocarpa|This perennial grows on wet ground on soils ranging from acidic to neutral or occasionally mildly alkaline. It is found in a wide variety of open habitats, including sandy shores, tracks, streamsides, wet fields and heathland, the margins of ponds and lakes, wet rocky hillsides, flushes and seepage areas. 0?930 m (Beinn Heasgarnich, Mid Perth).|Native|This, the most widespread of the C. viridula subspecies, was mapped as `all records` in the 1962 Atlas. It is now much better recorded but it has declined at the edges of its range in S. England, and in the English and Irish Midlands, almost certainly due to drainage and habitat loss.|Suboceanic Boreo-temperate element; also in eastern N. America.     © G. Toone, IWNHAS
Carex viridula subsp.viridula|This perennial herb occurs in open, damp or wet habitats, including dune-slacks, the upper edge of saltmarshes and on the stony margins of lakes or pools, and in open fens and marshes. It usually occurs on flushed acidic soils, but also locally on base-rich substrates. Lowland, but possibly to 400 m in Perthshire.|Native|A diminutive plant which is easily overlooked, C. viridula subsp. viridula is known to be more frequent than when mapped by Jermy et al. (1982) and is probably still under-recorded in W. Scotland and Ireland.|European Boreo-temperate element; also in E. Asia and widespread in N. America.
Carex vulpina|A perennial herb of wet, open or shaded habitats, usually on heavy clay soils that are flooded in winter and dry in summer. It occurs by ditches and rivers, in meadows and in a Quercus-Crataegus thicket. It sometimes grows in standing water. Plants fruit freely. Lowland.|Native|There is much confusion regarding the separation of this species from C. otrubae. Despite apparent differences in leaf anatomy, preliminary molecular analysis has revealed that the situation is not clear-cut, and taxonomic work continues. Distributional changes are, therefore, not easily assessed.|Eurosiberian Temperate element, with a continental distribution in W. Europe.     © L. Rooney
Carlina vulgaris|A monocarpic perennial herb, typically occurring in well-grazed grassland on dry, infertile calcareous or base-rich soils, but also in more open habitats, including dry rock ledges, screes, quarry floors, coastal cliffs and sand dunes. 0-455 m (Haweswater, Westmorland).|Native|C. vulgaris was mapped as `all records` in the 1962 Atlas. A widespread decline has taken place, and analysis of the database reveals that most losses have occurred since 1950. Losses are partly due to habitat destruction and a lack of grazing. It has declined on dunes in Co. Down through their destruction and acidification.|Eurosiberian Temperate element.
Carpinus betulus|A long-lived deciduous tree, found as native in both pure and mixed woodland on base-poor sandy or loamy clays, or clay-with-flints. Within its native range, coppiced plants are often the dominant member of the shrub layer in Quercus woods. It is also extensively planted in woodlands, on roadsides, in amenity areas and for hedging, both within and outside its native range. Lowland as a native, but to 380 m as an alien on Great Mell Fell (Cumberland).|Native|C. betulus is confined as a native to S.E. England. Its precise native range has not been defined and all records are mapped as if they are native. There are many more alien records since the 1962 Atlas.|European Temperate element.     © S. Hammonds
Carpobrotus edulis|A succulent, mat-forming perennial which may cover sea-cliffs and sand dunes, or hang down rocks and walls. Some colonies were planted to stabilise dunes, while others have arisen from discarded garden material. Reproduction by seed is probably insignificant. Vegetative spread can be assisted by nesting gulls. It is frost-sensitive. Lowland.|Neophyte|C. edulis was being cultivated in gardens by c. 1690, but was not recorded in the wild until 1886. It has spread since the 1962 Atlas but is limited by climate. It is perceived as a serious threat to native species on Cornish cliffs and much effort is spent on its attempted eradication.|Native of S. Africa; widely naturalised in Mediterranean-Atlantic regions of Europe.     © P. Shannon
Carum carvi|A monocarpic perennial herb, found naturalised in meadows, on sand dunes, roadsides and railway banks, and as a casual in waste places and on rubbish tips. Generally lowland, but formerly reaching 425 m at Blair Atholl (E. Perth).|Archaeophyte|C. carvi was introduced from Europe before 1375 (Harvey, 1981). It is well-naturalised in Shetland, but is uncommon elsewhere, being much less frequently cultivated than formerly. Many occurrences are casual, presumably arising from fruits imported as flavouring agents.|Apparently native of Europe, W. & C. Asia but native range obscured by spread in cultivation; now widespread in boreal and temperate zones in the N. hemisphere.
Carum verticillatum|A perennial, calcifuge herb of marshes, streamsides, damp meadows, rushy pastures and on wet hillsides with a pronounced soligenous influence. 0-425 m (Llyn Berwyn, Cards.) and 440 m in S. Kerry.|Native|The distribution of this species is generally stable. Since the 1962 Atlas, some sites have been lost, including the remaining Surrey site in 1967. However, new sites have been discovered, particularly in S. Wales, N. & W. Scotland and Ireland. In W. Scotland, and perhaps elsewhere, it may be becoming more frequent in pastures where drainage is increasingly neglected.|Oceanic Southern-temperate element.
Castanea sativa|This deciduous tree is a major constituent of coppiced woodland in S.E. England. It is also planted in hedgerows, wood-borders, parkland and amenity areas, and in large gardens. It tolerates a wide range of soils, but thrives on moist, sandy soils. Seed is set freely in the south, but seedlings rarely reach maturity. 0-410 m (Fern Hill, Rads.).|Archaeophyte|C. sativa was probably introduced in Roman times, and its later presence is attested by Anglo-Saxon place names and its mention in Medieval documents. The large increase in records since the 1962 Atlas is due to better recording and continued planting.|Native of S. Europe, N. Africa & S.W. Asia; widely naturalised in W. Europe.     © M. Cotterill, IWNHAS
Catabrosa aquatica|A stoloniferous herb of muddy pond margins, cattle-poached ditches, canals and sluggish streams; also, as var. uniflora, on wet open sand by the sea. Almost entirely lowland, but recorded in flushes at 710 m on Little Fell (Westmorland).|Native|C. aquatica has much declined since the 1962 Atlas, due to the drainage and infilling of ponds, and the canalisation of lowland watercourses. However, var. uniflora is widespread in W. and N.W. Scotland, perhaps also in W. Ireland, and is undoubtedly more common than indicated by the map in Perring & Sell (1968).|European Boreo-temperate element; also in C. Asia and N. America.
Catapodium marinum|An annual of dry bare places by the sea, rock crevices, grassy banks, cliff-tops, sand dunes and stabilised shingle; also in artificial habitats such as walls and pavements, and increasingly inland by salt-treated roads. Lowland.|Native|There has been little change in the distribution of C. marinum since the 1962 Atlas, apart from its recent colonisation of roadsides near the coast, mainly in S. England and along the M4 motorway in S. Wales. It was first recorded in that habitat in the mid-1980s, though only since the mid-1990s has it begun to spread appreciably.|Mediterranean-Atlantic element.     © G. Toone, IWNHAS
Catapodium rigidum|An annual of dry, barish places on sandy banks, stabilised shingle and around rock outcrops, usually preferring calcareous substrates; also in artificial habitats such as quarries, walls, pavements and railway ballast. 0-355 m (Llangollen, Denbs.).|Native|There has been little change in the distribution of C. rigidum since the 1962 Atlas. Subsp. majus, a coastal plant of S.W. Britain, Ireland and the Channel Islands, was mapped by Perring & Sell (1968), but it is treated as a variety by Stace (1997) and is not mapped separately here.|Submediterranean-Subatlantic element.     © P. Shannon
Centaurea calcitrapa|A biennial herb of waste ground and tracksides in dry grassland, and on banks on well-drained sandy, gravelly or light chalky soils. Lowland.|Archaeophyte|There is a single archaeological record of this species from a Roman site, and it was recorded in the historic period by 1597. It is sometimes regarded as native in Sussex, where it grows in habitats similar to those near the Somme estuary in N. France (Wigginton, 1999). It is also established in Kent, where it has been known since 1839 at Chatham. Elsewhere it is a declining casual from wool, bird-seed, lucerne seed and esparto.|Native of the Mediterranean region; widespread as an introduction further north but now declining outside its native range.
Centaurea cyanus|C. cyanus formerly occurred as an annual weed of arable habitats. Since 1986 it has been recorded in very few arable fields, but it is now frequent in waste places, on roadsides and on rubbish tips as a casual arising from gardens and wild-flower seed mixtures. 0-350 m (Blackwell, Derbys.).|Archaeophyte|Known to have been present in Britain from the Iron Age onwards, C. cyanus remained a serious weed until seed cleaning began a rapid decline, accelerated by the use of herbicides. Since the 1980s it has increased through wild-flower seed.|As an archaeophyte C. cyanus has a distribution centred on the European Temperate region; it has been widely naturalised outside this range.     © K.J. Walker, BSBI
Centaurea nigra|A perennial herb of meadows and pastures, sea-cliffs, roadsides, railway banks, scrub, woodland edges, field borders and waste ground, on a wide range of soils. 0-580 m (Cadair Idris, Merioneth) and exceptionally at 845 m on Great Dun Fell (Westmorland).|Native|The distribution of C. nigra is stable. Forms on light soils in England and Wales are sometimes recognised as subsp. nemoralis. Elsewhere, subsp. nigra predominates. Intermediates occur where both subspecies grow, and also in the absence of subsp. nemoralis.|Suboceanic Temperate element; widely naturalised outside its native range.     © R. Stewart, IWNHAS
Centaurea scabiosa|A tufted, winter-green, perennial herb of dry, usually calcareous soils, found in grassland, scrub and woodland edges, on cliffs, roadsides, railway banks, quarries and waste ground. 0-320 m (Matlock, Derbys.).|Native|C. scabiosa has apparently declined due to the destruction of old grasslands, although it is able to colonise disturbed habitats. Plants with entire basal leaves, var. succisifolia, are found in coastal populations in Wales and Scotland, but their taxonomic status is uncertain (Valentine, 1980).|Eurosiberian Temperate element; widely naturalised outside its native range.     © P. Shannon
Centaurium erythraea|A biennial, rarely annual, herb of mildly acidic to calcareous, well-drained, often disturbed, soils, occurring in a wide range of habitats including chalk and limestone grassland, heathland, woodland rides and open scrub, dune grassland, quarries, spoil-heaps and road verges. 0-330 m (Wauchope, Roxburghs.).|Native|The distribution of this ecologically wide-ranging and mobile species shows little change from the 1962 Atlas.|European Southern-temperate element; widely naturalised outside its native range.     © P. Shannon
Centaurium littorale|This biennial herb is confined to coastal dunes, the uppermost levels of saltmarshes and calcareous, humus-rich turf near the sea where competing vegetation is checked and the habitat kept open by grazing or trampling. Lowland.|Native|There appears to be little change in the overall distribution of C. littorale since the 1962 Atlas; although some populations have been lost, new ones have been discovered.|European Temperate element.
Centaurium pulchellum|An erect annual of mildly acidic to calcareous soils. Inland it is found in dry, open grasslands and heaths, in woodland rides, marl pits and other open, disturbed ground. On the coast it is a plant of open sandy and muddy grassy places, often by estuaries, sand dunes and in upper saltmarsh. Lowland.|Native|The overall distribution of this species has remained stable although there has been some decline on heathland due to lack of management (particularly grazing), and coastal development has led to the loss of some of its former sites. It is much better recorded than in the 1962 Atlas.|Eurosiberian Southern-temperate element.     © L. Rooney
Centaurium scilloides|This perennial herb occurs on freely draining soils on the slopes of coastal cliffs. Most native populations are in grassland and maritime dwarf-shrub heath, often along eroded and trampled edges, with some extending into dune grassland. In S.E. England it occurs in lawns at both coastal and inland sites. Lowland.|Native|The decline of grazing and invasion of scrub are likely causes for the disappearance of this species from Cornwall, where it was first seen in the 1950s. The first record from lawns in S.E. England was made in 1974. In these localities it may be an escape from cultivation.|Oceanic Southern-temperate element; restricted to disjunct localities along the coast of W. Europe.
Centaurium tenuiflorum|This annual occurs on open, poorly drained sandy or clayey soils on slumping coastal cliffs. It will not persist in a closed sward, tending to appear a few years after the habitat is opened up, and disappear after about ten years unless open conditions are re-created. Lowland.|Native|Though this species is rare and very localised, the unstable nature of its habitat should ensure its survival in Dorset. It was last recorded in the Isle of Wight in 1953; later records from here are errors. It was recorded in the Channel Islands in 1837, but not subsequently.|Mediterranean-Atlantic element.
Centranthus ruber|A perennial herb thoroughly naturalised on sea-cliffs, limestone rock outcrops and pavements, rocky waste ground, in quarries, on railway banks, on old walls and buildings, and in other well-drained, disturbed and open habitats. Lowland.|Neophyte|C. ruber was grown in Britain by 1597 and is a popular garden plant. It was first recorded in the wild in 1763 (Cambs.). There are many more records for this species than when it was mapped in the 1962 Atlas, although its range has not changed significantly.|Native of S.W. Europe and the Mediterranean region; widely naturalised further north in W. & C. Europe.     © P. Shannon
Cephalanthera damasonium|A shade-loving rhizomatous perennial herb usually found in woods with little ground cover, especially those of Fagus, but also extending into chalk scrub. It is restricted to well-drained soils on chalk and oolitic limestone. It is usually self-pollinated and the flowers often fail to open entirely. Lowland.|Native|Clearance of woodland, particularly since 1930, has resulted in the loss of many sites for C. damasonium. It is still plentiful, however, in suitable habitats, and its ability to colonise young Fagus plantations means that new populations are occasionally found.|European Temperate element.     © L. Rooney
Cephalanthera longifolia|A rhizomatous perennial herb found in a variety of woodland types on calcareous soils, usually on chalk and hard limestone but also on calcareous schist in Scotland. It prefers permanent patches of light and is most frequent on steep, rocky slopes with an open tree canopy, but is also found along woodland edges and rides, and in scrub. Lowland.|Native|This species declined markedly in the 19th and 20th centuries, especially before 1970. Although collecting may have contributed to some losses (Graham, 1988), cessation of woodland management and coniferisation, both leading to denser canopies, are much more significant.|European Temperate element; also in C. Asia.
Cephalanthera rubra|A long-lived rhizomatous perennial herb of well-drained sloping sites in deciduous woods, particularly those of Fagus, on calcareous soils. It is a poor competitor and does not form large colonies. Flowers are rarely produced and seed-set is very low, possibly due to the rarity of suitable pollinators. Lowland.|Native|This elusive species has always been rare and is now found at only three sites, with a total of perhaps only thirty plants. Current conservation management includes removal of shrubs and trees. Native populations may soon be augmented with plants grown ex situ.|European Temperate element.     © G. Toone, IWNHAS
Cerastium alpinum|A mat-forming montane perennial herb which grows in similar habitats to C. arcticum, but on more strongly basic rocks. It is particularly abundant on soft mica-schists but also occurs on limestone and, rarely, serpentine. It often occurs in species-rich dwarf-herb communities. From 300 m on Seana Bhraigh (E. Ross) to 1210 m on Ben Lawers (Mid Perth).|Native|C. alpinum may still be present in many of the 10-km squares for which there are only pre-1987 records.|European Arctic-montane element; also in N. America.     © Pete Stroh
Cerastium arcticum|A montane, tufted perennial herb of acidic and hard basic rocks. It normally occurs in wet, thinly-vegetated crevices and on ledges in N.-facing corries, but has been recorded on a montane fell-field on Skye. Plants may sometimes be found rooted at the foot of mountain cliffs. It is rarely found below 700 m and reaches 1200 m on Ben Nevis (Westerness).|Native|The map shows no appreciable change in the distribution of C. arcticum since the 1962 Atlas.|European Arctic-montane element, but absent from mountains of C. Europe; also in N. America.
Cerastium arvense|This perennial grows mainly on dry, calcareous to slightly acid, sandy soils, occurring in pastures, on dry roadsides, wayside banks, the margins of arable fields, sandy or gravelly waste ground, sand dunes and sand-pits. 0-300 m (Hounam Law, Roxburghs.).|Native|C. arvense has declined, particularly at the edges of its range. The reasons for this are unclear.|Circumpolar Boreo-temperate element; widely naturalised outside its native range.     © O. Pescott
Cerastium brachypetalum|An annual of dry, calcareous, open grassland and railway banks. Seed is freely produced but is poorly dispersed, with colonies appearing in the same place year after year. Lowland.|Neophyte|C. brachypetalum was first discovered in Britain in Bedfordshire in 1947; its late discovery and proximity to railways suggest that it is an introduction. However, Palmer (1994) argued that its occurrence in old, Bromopsis erecta dominated grassland on chalk in W. Kent indicates that these populations are relics of a more widespread distribution in this area.|A European Southern-temperate species.
